usuario,followers,friends,tweet,retweets
lfuentesarce,1490,555,1,0
ArelysBG,944,630,1,0
Violet_Ruouiz,3030,1389,7,1
MeggBen,313,760,2,0
CSocialUDC,391,99,0,1
smoralesv30,79,461,1,1
Victoravila1313,8,43,1,0
mlizaeri,2623,707,1,0
naty19946,41,333,1,0
PublicoAd,522,38,3,0
andecha33,1085,1487,1,0
camiloiparra,145,163,0,1
jllorentego,126,225,1,0
rivasvidaljuan,229,819,1,0
Yosyliz,115,233,1,0
jesusvazquezga8,36,533,1,0
AlbertoSG14,171,336,2,0
Estelam27348304,18,35,1,0
aitor_ecoper,372,237,1,3
daetsime,1198,172,4,0
ahinco_arg,27,184,0,1
AmaliaBCR,113,252,1,0
SDeLaraR,2378,951,1,0
MarioViduera,2,42,3,0
jesusarnau,920,611,1,0
Ismaelrene1,73,597,1,0
jovenesdelsauce,47,161,1,0
j_aortega,3377,3023,1,0
agorarsc,12939,3518,12,22
noelialeyria,4606,4923,1,0
jlnietob,566,727,1,0
ElChinoNavarro,2401,1819,1,0
AlmaCubanita,4291,4246,0,1
construyemundo,371,297,0,1
iRiego,3955,1432,2,0
miguelcarrenof,123,1003,0,1
wecoplan,763,401,1,0
P_Mesoamerica,2887,902,2,2
ElcheCoopera,435,197,0,1
Coahuila,11720,3211,1,0
cgchileLA,679,355,1,0
jmg_velez,1183,583,1,0
JuanCazorla,3141,2115,0,1
sabya_saha,429,297,1,0
hicpresident,1872,1294,1,0
mauvirgulino,288,573,1,0
Maf2872,16,27,1,0
socubot1,100,457,1,0
UcmFeu,501,226,1,0
Rafael92543331,486,440,2,0
MariContr3ras,533,1271,1,0
Nay3gz,67,510,1,0
Emixl,168,403,1,0
CulturaRSC,5006,628,8,0
asSmand,256,544,1,0
randreszurita,4207,5000,1,0
Begonasarre,2116,1754,2,0
gablozano,282,766,0,1
YunielArg,2139,5001,1,0
j_Delgado_,160,299,1,0
grpinnovaris,803,1590,0,1
germicamps,354,483,1,0
konfekoop,546,517,13,2
monzonpedro,1442,2895,1,0
sandraramon,809,951,1,0
Luisherrera31,122,605,1,0
mvalerio_gu,17952,5692,3,0
Obdulio_MM,679,228,1,0
AmpfmexMario,165,129,4,0
CarlosRoj_TBVIH,210,549,1,0
bd4dnetwork,183,6,1,0
amparoayala,54,157,1,0
herero36,1393,3764,1,0
eduardoll21,441,2098,1,0
eqdh_31,764,803,1,0
Chino90860678,149,276,3,0
mauestevez16,35,278,1,0
luismorcar,2375,1056,0,2
alirenedo,1049,1557,1,0
UAM_Ediciones,877,761,0,1
maistroprimerc1,29,114,1,0
futuroabiertosv,160,423,1,0
Rosendo_barr,80,63,1,0
esparavan,54,662,1,0
PROhumana,12248,6362,0,2
Camelhub_SAS,181,521,0,1
AjuntamentXabia,4142,1673,0,1
ucomur,4071,4877,1,0
DEMIANBIKE,552,1092,1,0
EmbaCuba_Argel,4281,760,1,0
gabidesol,130,675,1,0
svntonio,15,159,1,0
esteruco,171,264,1,0
Inmujer,17037,88,0,1
analiliahl,234,566,1,0
Ma_LuDominguez,151,405,2,0
m_pascual_m,658,5000,2,0
Ginecodoc,1573,1222,1,0
ldyazmin6,179,392,1,0
antonella_risso,1070,3752,1,0
juanacamu,1168,1132,1,0
carla_salvadori,228,811,1,0
Rafa_Torralba,1128,661,1,0
idealibertaria,506,203,1,2
vikyvilarino,467,289,2,0
EmbaVERusia,6384,3069,1,0
grupo_educativo,1443,1095,1,0
Rossana19021966,16,118,1,0
AristizabalOssa,3550,1522,4,0
FuturoMiguel,214,1174,1,0
FundacionCabral,131,213,0,2
MaSilviaCalvo,474,596,1,0
feraagra,842,378,1,0
zaac369,2,87,2,0
CharlieNuclear,280,149,0,1
LauraMillanG,60,269,1,0
RSCComunicativa,1049,817,1,0
WWFnoticias,16127,893,1,0
ThomasJorgeHen1,2,34,2,0
Carmen_fercar,20,50,1,0
GuillermoGuzman,264,350,1,0
innova_udc,380,340,1,1
la_informacion,428522,1924,1,0
InkaMattila,3012,1324,3,2
Cotec_Innova,39318,1632,1,0
QfbSergiovl,133,133,1,0
lopezacunad,593,688,1,0
caesarmillan,790,755,1,0
IDE_UTB,215,1702,1,0
2FrenteaFrente,222,285,4,0
AgustinMillanG,3620,2757,0,1
aleuy24,388,612,2,0
VictorTirado13,1204,2557,9,0
Oneyes5,195,351,2,0
generoenaccion,15651,8731,2,0
Carojasque,1168,1103,0,1
JoseGui96767128,4,27,1,0
drewcostafreda,621,609,1,0
gpscongreso,33255,1076,4,0
GonzaloLarenas,9006,1222,0,2
elenayllon,1257,1340,1,0
juanmaolima,689,621,1,0
PNUD_ALGenera,6550,1504,3,1
UEenElSalvador,6147,833,3,0
carjuljosa,6,15,1,0
bluegrowthvigo,382,494,0,1
DanielJuanma,429,685,2,0
NexosSociedad,29,18,1,0
GabPS9,178,832,2,0
CEADS_AR,3937,763,2,20
radiocienfuegos,5390,2359,1,0
Josefina_Fdez,1184,1285,0,1
comunicacioicab,15811,1333,2,0
JuanezLourdes,6,28,1,0
Chvallejoo,49,121,2,0
abrh4,396,393,0,2
PortalJMX,1744,994,7,0
GGroxanaaguirre,49923,40922,1,0
lmalave50,231,639,1,0
wbarrios11,284,544,1,0
unescoMOST_LAC,3783,3594,2,0
Gretta19831,1,30,1,0
ACCIONA,114475,744,4,0
librelectoracol,636,2299,5,0
catedralibreuc,238,88,3,0
LuisRam79683177,97,117,1,0
Bcodescoke,457,599,1,0
lamarchelina,41,57,1,0
Karikaturas,10,92,1,0
JulietaTslb,442,564,1,0
MgreenHero,104,127,1,0
Nunezpolo,526,968,1,0
kuni84165269,202,771,7,0
apt_americas,1032,1584,0,1
ANCONOrg,6446,898,1,0
MasterRSCUPV,908,1632,0,1
FABIANECOLOGIA,331,973,4,0
M_Emprendedora,5180,571,1,0
HC_Hispania,1930,1552,1,0
JuanCRamos14,1,34,1,0
doloresb_planet,557,431,0,1
CECyTEHgoAB,534,109,1,0
Asoicarus,914,898,1,0
WWFCordoba,1008,238,1,0
fcoda_es,197,972,1,0
ThaysNoriegaS,5784,2016,1,0
ElxMes,116,83,2,0
IGOBINN,512,1457,0,2
DJRAW2009,125,319,1,0
OPurpurea,1771,973,2,0
rosamelero,2156,613,1,0
andresaguilarb,206,319,1,0
luis_pepe1984,728,3267,1,0
aliciaripolles,476,1634,1,0
AlfonsoOliva17,296,1102,1,0
LAQI_quality,1010,753,1,2
jdmachado7,231,230,1,0
_KarolRoa,22,14,1,0
PepaFranco,94,489,1,0
OMC_es,5833,547,0,1
AzucareraES,798,998,0,1
Celina_KJ,344,389,1,0
WigerFranke,211,520,1,0
SusanaGarciaM3,172,316,1,0
cpdiazg69,116,137,1,0
Arianblp92,772,2041,1,0
tiempoin,153,419,0,1
Ruben_Castro,948,1000,1,0
deusto,25200,1276,1,0
fegonzalez1971,9052,9038,1,0
jantonioparcha,97,454,1,0
yolcloud,59,245,1,0
Perez_Alvarado_,896,1096,1,0
HumanismoD,26,28,0,1
Intlaque197,51,82,1,0
Xem1ta,61,79,1,0
ApSExtremadura,979,2482,1,0
AndreaFoessel,1106,1628,1,0
IvyEscalon,716,224,1,0
lubegach,87,267,1,0
paolabernalf,2350,2117,1,1
JesusFCaballero,565,413,1,0
mfgfmg,119,863,1,0
CatedraHidralia,452,460,1,0
michem18,122,179,1,0
FAbiertas,298,632,2,0
rakmusica,169,1264,1,0
mecastron,168,411,1,0
angelarubii_,697,272,0,1
Arturo_729,23,268,1,0
Bioeconomia_Arg,1126,831,1,0
PRODEMU,6542,3592,1,0
lolaoltra,7252,4443,1,0
OleoRevista,7238,1012,0,2
joaquintwitts,686,700,2,0
Viky_Aquin,353,473,1,0
FundacionBeQual,2692,909,1,15
doraperu,317,138,1,0
Mayoresdehoy,4414,505,1,0
neidyclavijo,912,596,1,0
LuzRoCorredor,5196,5173,4,0
jp_obandoh,242,444,1,0
ciedur,319,281,0,2
ariludov,291,458,1,0
suyapabgv,129,133,1,0
suarez_camilo,2142,2114,1,0
12greci,339,157,1,0
marnidares,187,450,1,0
AUARA_H2O,2112,356,1,0
pepequinonez,571,525,1,0
FiscalesGobAr,27984,37,0,2
Yauster17,196,493,1,0
jesi_ortega,3290,2789,1,0
FECPanama,19,27,0,1
EcuadorONU,3805,499,1,0
ReVeldes_VdV,555,3989,1,0
marbrandd,753,1239,0,1
Carlossustentia,169,231,1,0
Perisandru,10927,4983,1,0
CMEGalicia,484,378,3,4
DeliaFerreira,9838,939,6,0
SilviaATedin,31,167,1,0
Red_Carolina,115563,1573,2,4
rodriguezz_ines,436,581,1,0
carsecor,654,1014,2,0
seocanar,470,286,1,0
elenarcobos,132,193,3,0
p_san_martin,113,290,1,0
UCAM_ITM,2170,649,1,0
caher66,1729,1102,3,0
jmcamachooros,774,868,3,0
AllianceVending,2017,1079,1,0
rosasaam,1073,1078,1,0
caro_illanes,371,747,1,0
ismaelpj764,19,69,1,0
jfonru,1860,144,1,0
Tashi96428701,83,222,1,0
WWFpy,12355,2032,2,0
EmbajadaEspCol,5199,629,1,0
llinaresjoan,3311,2256,2,0
ginariano,913,273,0,1
MarianaCaccia,413,2598,14,0
juventud_Lorca,2660,627,0,1
cinemoviltoto,1354,1556,0,1
Palacio_Diego,737,110,1,0
version_4,47,167,0,1
SabriFacchin,2093,795,0,2
AclimaEuskadi,1695,595,1,1
EspacioAF,7425,1453,1,0
M_LuzOrtega,2411,1878,3,0
mariaferquijano,249,558,3,0
simverj,80,28,1,0
DoloresRoquette,4,49,1,0
EmbEspSkopje,1464,570,0,3
taimisosa1,434,1522,1,0
CDSustentable,2784,4346,1,0
Pili_FL,160,210,1,0
rusodosky,7254,7878,2,0
UnLtdSpain,3414,2030,2,3
Gema89_89,19,205,1,0
bioTremol,100,74,1,0
claralunis,110,175,1,0
horacio_lorenzo,382,852,1,0
lhmastran,2337,1231,1,0
gpolicywatch,4304,591,1,0
JaimeSilos,2190,543,4,0
ANeira_V,1952,1409,1,0
emakundEJGV,7240,330,0,1
ciudaddeciencia,1559,1764,13,0
PiscinaWellness,2992,1328,1,0
lazoedu,277,493,1,0
MarlisAracena,10579,4243,3,0
FUNDEMAS,10330,938,1,0
joseluisgcureno,3536,2193,8,1
Alma_AvilaF,252,1240,3,0
rmtarazona,19534,17800,1,0
ricardoverde11,12,152,1,0
savalosf,253,496,1,0
CiuBicentenaria,8,16,1,0
rnpy951fm,4859,537,1,0
constanzagonzlz,1317,1166,2,0
marcossilvanqn,1498,1383,1,0
UNESID,1793,623,1,0
IsraelLpezMarn1,162,507,2,0
Isaac82010,116,246,1,0
ngarciacasarejo,525,767,4,0
GTorreblank,1129,3266,5,0
belia_rojas,107,104,1,0
charina_romero,36,100,1,0
patykagarcia,215,867,1,0
fundaciondrmm,95,112,0,1
jdoviedoa,6642,286,1,0
gemaesteve,1096,1542,1,0
amandapais3,301,719,1,0
Corcivicaldas,3457,2448,0,1
jalmagro,2934,248,1,0
anitamarianunez,304,369,3,0
biomerasa,241,267,2,0
silviaroro31,409,1926,1,1
Shantellmarie02,517,393,1,0
misaelhoracio2,131,229,1,0
JorgeLeyva_,16768,2594,1,0
MiguelCompany,2683,1292,1,0
choikepurun,656,510,2,0
SEUR,16097,6911,2,0
Santiag66557651,32,23,5,0
StefaniaMarcone,207,161,1,0
alvizlo,5895,1425,2,0
SmartCity_Net,7855,905,3,1
AaltoCons,249,451,0,1
MrMisingno,3453,1285,1,0
MascaronDe,237,899,1,0
JBBanonLopez,844,1410,1,0
hispalis55,180,418,6,1
voyagemates,61,334,1,0
alidagf4,163,82,3,0
EspPrincipalJC1,58,441,1,0
blanca_gonzaga,3493,5001,1,0
RicardoBlanco,7821,6863,1,0
MGascaGomez,837,670,1,0
EMPODERA_org,5359,1202,4,0
llanofaidiello,1134,2862,1,0
RoblesMedinaa,7,45,1,0
Deb_invexCuba,2154,724,1,4
CulturaUNEDSg,172,58,8,0
Alexis_dalcame,1032,2305,1,0
Mertrak,3080,505,0,3
ClamVeracruz,323,907,1,0
marcelolacayo13,225,225,1,0
CDR_Portabertas,163,368,1,0
lennys_rivera,292,655,1,0
vidagarciasalv1,261,2708,2,0
CarlosL28684663,65,73,2,0
FedecaMIRANDA,106,141,1,0
CieloConstanza,101,401,1,0
FundacionSES,862,899,1,0
CaminoArroyo,186,76,1,0
AoniaNewEdu,1252,1147,1,0
SonYritmo,275,720,4,0
visualizainfo,1776,2887,1,0
Mysanchez6,155,325,1,0
alesew23,10775,12062,0,1
SUEZAmCentral,687,521,0,1
Alberto_Guijarr,1260,1557,5,2
MariaLeoMl,328,865,1,0
IBatuz,1352,4979,2,0
javierbarriam,326,426,1,0
FactoryMatters,79,126,1,6
hdojgomez,5158,115,1,0
ana99lopez,453,704,1,0
Oswal_Palacios,233,1250,1,0
spuertopavon,250,391,0,1
LuisGonloz,339,939,1,0
javierfdezi92,201,680,2,0
mloriz,5766,3706,2,0
MoraimaOrozco,19,24,1,0
CientTi,10,74,1,0
danielbarril,608,1612,1,0
LuisCedres,189,138,3,3
fisicadisidente,1004,883,1,0
Verdines18,50,104,1,0
Ferfollos,926,1459,1,0
HerreroLuz,391,591,11,0
fzamorapolo,447,241,1,8
NP_Aguirrezabal,313,451,0,1
OOdnamra,138,81,1,0
mcantalapiedra,7762,1482,1,0
yellinek,942,471,1,0
FundacionNoe,26,85,0,1
nubiaalvg,394,385,1,0
Jordi_Armadans,11108,1156,1,0
anadelg73973947,41,99,1,0
AlexArevalo15,747,2647,3,1
GreenFactoryCol,220,282,0,1
SenenaCorbalan,280,187,2,0
FeSPUGTPV,1980,1015,1,0
JuanFloresCast1,4,79,1,0
EmbaCuba_Haiti,5343,5874,1,0
Jmcapitang,466,705,1,0
cesardiazguevar,1057,380,3,0
CafesNovell,2209,2476,1,0
AlbalatAna,1440,660,1,0
MoranRuby,254,227,1,0
jesuitasperu,5165,196,1,0
AMAEM_Oficial,3997,3065,0,1
Together_2030,2574,482,4,0
ResilienceAcad,468,492,1,0
OctavioSalina16,69,538,0,1
klemengambel,41,233,1,0
BenitoHamidian,31584,16343,3,0
ECO_CIRCULAR,3135,781,2,0
ggwcup,2450,1714,1,0
rafacastromeza,1894,5001,1,0
ATORIVERO,3654,4871,2,0
AragonCsic,880,345,1,0
jorgesolana,1207,604,5,3
solgmunoz,3660,1960,1,0
sita507562591,1483,518,1,0
AltoGuadianaM,398,550,1,0
consullano1,66,81,1,0
qrga88000,323,534,5,0
DelGobCantabria,942,145,3,0
AshokaSpain,19361,1144,1,1
Beizana,626,583,1,0
UOCpsicoedu,2402,824,1,0
NoQuieroDogal,378,706,2,0
jotatecaleno,716,1447,1,0
CarnavalQuimica,4647,342,1,0
Daniel_peres21,368,374,1,0
johnanton22,315,1014,3,0
isjup1,824,742,1,0
Francis13780823,1,80,1,0
GuignardPH,7850,1022,1,0
Desangelus,116,344,1,0
lebiramy,14,10,1,0
clio1968,4849,3442,1,0
JoseLuisGilGonz,3571,1915,1,1
Vikingo_alhucem,9,35,1,0
hispanoeducando,4132,4345,2,0
alecampoverde,1330,357,1,0
PabloPonce,4114,1033,0,2
VialidadXalapa,51640,418,1,0
AmbientalUDLA,221,174,2,0
Wuwei57,243,1359,1,0
SandorGerendasK,2395,2183,3,0
Andalucia_Ong,4583,305,1,0
GiuliaMassobrio,264,227,0,2
JanetCamiloRD,11438,981,1,0
maria_iccp,350,423,1,0
urielsanchezs77,137,339,1,0
mariehegel,384,519,2,0
e_lopez_moreno,421,13,1,0
idcarriong,37,143,1,0
TercerSectorCLM,350,296,2,0
pereramon2,305,1243,1,0
ALMUGOGAR,293,224,4,0
angelviveiro9,22,249,1,0
aldemar1236,830,1056,1,0
CEER_98,514,463,0,6
MaraolinaDD,172,609,1,0
koikiliramos,111,741,1,0
ra_osorio,275,439,1,0
fesabid,9707,2570,1,1
IPE_CSIC,1617,522,1,0
eduardotoledo,1029,1321,1,0
bnmascerca,62577,57357,0,1
angelrb68,421,1318,1,0
AncariaSl,33,94,1,0
coemmaristasmed,558,124,7,0
rex_pedro,756,1154,1,0
ACNURSuramerica,4649,381,1,0
juancarjc,2121,3746,1,0
AngelDavidCaSa,244,618,1,0
PabloEspejel7,3,141,11,0
zzmery,161,635,1,0
ANDIHonduras,6042,671,0,8
DiegoParedes9_,706,626,2,0
JulioHdezJ82,14,123,1,0
marthi_hidalgo,400,321,2,0
GollyCharlotte,18,147,1,0
HuescaExcelente,494,194,1,0
weartopen,118,767,1,0
jrodriguezarana,2053,45,2,0
Esmeral77799885,8,20,5,0
CarlaCarvajalTD,30,232,1,0
diaz_serantes,24,108,1,0
leoholguinmunoz,109,304,0,6
AlejandraVlez1,120,403,1,0
alejabelz,12,361,1,0
parcteclleida,1256,413,3,0
manenar,336,402,1,0
Juandesola,3024,2489,1,0
PradosMay,35,105,1,0
pelayoroc,45,104,5,0
AhychelE,12,32,0,1
ANGED_es,4743,627,0,1
DMESagua_Grande,369,824,1,0
Ricardo26570016,12,147,1,0
elisacm_18,41,164,1,0
PinoManzano1,48,84,2,0
FIIAPP,8629,2403,0,8
socib_icts,2306,565,2,0
CirculoGloBal_I,419,246,1,0
estonoesunsolar,1192,698,1,0
flmartinoliva,202,308,1,0
Paty_Dom,826,433,1,0
mricfu,140,753,1,0
PilukVillena,30,126,1,2
ElOjoSostenible,603,370,0,6
soleizquierdo,338,700,0,1
newfxfs,990,2831,1,1
MIsabel54,754,840,1,0
WorldVisionPeru,4491,1323,0,1
RevistaRetosUps,101,599,0,1
eduzojordan,170,416,1,0
DoctoraPorras,4,74,1,0
VE_ONU,12834,1144,1,0
MarinaVolpe12,5691,1597,1,0
revistatdigital,2851,3426,1,0
afamdeh,411,436,1,0
ByronIgnacioVer,64,151,1,0
COMC_Oficial,808,611,1,0
Evenis,588,1232,1,0
ABDIELCRUZ7,1187,804,2,0
MonVedra,1596,2315,1,0
joseigpastor,1178,2637,1,0
MexicoSocial_,51098,244,2,0
scoutCdSol108,2120,1593,0,1
leguizamonml,487,810,0,5
Veronikaper,252,424,1,0
MsimonmMarc,1129,837,1,0
RRRurbana,41,218,1,0
cmzerna,290,769,1,0
pacoramon,1520,4977,1,0
rchavarri,1413,2302,1,0
CooperacionESP,26427,2382,4,0
FulgencioJS,327,323,1,0
robroiz1211,174,201,1,0
GaiaPluto,1182,2884,4,0
Coaching_Feliz,21864,24053,1,0
marta_hersan,613,2139,1,0
mllemarionamtl,1098,1553,1,0
NitoGonzalez9,218,355,1,0
YOPIZA,2385,1038,2,0
BenBugsyS,303,470,1,0
TonyGLoyal,1340,1428,1,0
luis_ods,153,49,10,0
Jorgito229,51,451,1,0
MaacEc,1191,4313,0,1
renatoparato,136,436,1,0
lgquerol,50,153,1,0
bibliodonihue,1038,284,0,1
nadiaballerina,326,390,1,0
SANFI_Institute,316,135,1,0
YolandaSainzSn1,70,242,1,0
YpsilomRSE,1325,500,1,4
ungatoa,67,219,1,0
gperezedith,271,153,1,0
EKTyson,239,457,1,0
CamposRedes,302,410,0,2
enisa,10374,3493,3,3
CarlosBarretoV1,1,22,1,0
MIC_PY,32358,460,1,0
VivianaZara,1614,840,0,3
cris230653,315,567,6,0
molinalamothe,285,1518,1,0
BuildingYoungs,394,235,2,0
JosMrqu24718267,4,16,1,0
AnitaxCM,61,175,1,0
mariehopegreen,15,18,1,0
kaktusita,608,1039,2,0
solazana,129,232,1,0
contagiadx,357,927,1,0
Federicoprd,1322,2791,1,0
CarmenGmAcebo,324,626,1,0
lasantos30,169,173,1,1
clauchis10,309,714,2,0
Clandestino78,280,491,1,0
saulrdz25,39,64,1,0
ScientificActiv,160,70,0,1
carlosgofo,1575,1796,1,0
jd_dcruz,4209,3511,2,0
asocgaraje,1391,622,23,7
juliansmanzano,1523,3238,1,0
JGuerreroN13,270,495,3,0
UNODC_PERU,137,265,0,2
Dragonslynn1981,1217,1468,1,0
Constantinormzr,457,1927,1,0
HelpArgentina,4741,1933,2,0
AliciaFilosofia,442,319,0,1
AndreMColorado,989,1155,1,0
zpillado,438,1258,1,0
campamentoideas,54,161,1,0
SrtaEsperanza,602,1014,1,0
Nachetecasas,543,1317,1,0
Wevyn,483,508,2,0
FMBBVA,3061,465,1,2
javierre_es,1533,156,1,1
cjsawaia,102,169,1,0
ylianagonzaga,13,3,1,0
Lista316,149,376,2,0
AlltechSpain,5803,2685,0,1
RebecaDeSancho,1412,4999,1,0
SDGCycle,28,49,1,0
begoies,36,92,1,0
Map8ong,2316,974,1,0
Injuv_Aysen,2947,896,1,0
CexUnizar,329,471,1,0
Ever8202,159,263,1,0
JosefaNavarrol,2717,1520,1,0
ONUMX,127313,725,1,2
PerezTorresill,41,13,1,0
LopezOyanarte,15,45,1,0
BetancourtLeyte,3,9,3,0
EliseoBanos,256,317,1,0
PSOEigualdad,10165,1146,2,0
Movilizateya,87,112,1,0
Yadiraamingt,33,429,1,0
sostenible132,531,319,0,2
marilusandoval,476,1107,1,0
badillo_rmz,6,215,1,0
mastercoopera,4005,2442,1,0
FOCOREJAC,446,234,1,0
valeriasosaf,698,420,1,0
PakiLlamas,69,109,1,0
diogenes1958,24,21,2,0
FOussidhoum,209,106,2,0
Javier_Orquin,824,433,1,0
elenatvieira,3002,5002,1,0
soylacris11,101,128,1,0
IngenierosFund,5215,3991,0,1
msolcito73,540,924,1,0
Mario91Dandrea,962,2058,1,0
preetygaby15,2001,2388,4,0
oiarzabal,902,777,1,0
alcantaraedu,1624,3017,1,0
packoo15,30,196,1,0
soledadbaidez,1643,2142,1,0
jaso_murillo,21,119,1,0
lucianamermet,1354,1447,0,1
GustaBeckerOk,202,1214,1,0
fabiolapoblano,478,635,1,0
pasalbre,437,3893,1,0
FABIPOB,157,161,1,0
majo_pezzelato,134,255,1,0
mariagemaquint1,878,755,5,5
Yacyreta_AR,5006,2361,0,2
GyCoor,12,93,1,0
CMARMOLWITTGRUB,339,2412,0,1
Nenbo77,60,507,1,0
jmgarciaperez,9648,3535,0,1
CIEYT_UNL,103,12,1,0
lajeimita,301,779,1,0
RocoMor74424869,479,589,1,0
RSCruzRojaMad,1966,2034,2,0
Escarabeo79,1845,2279,1,0
iambiente,59222,23613,4,0
dimeloconletras,286,643,0,1
tomasocial,180,124,1,0
Melque_LA,270,1009,1,0
Yessik29827602,25,137,1,0
Mov13Forestal,508,726,1,0
PanchoR0driguez,979,438,1,0
Egodoymoreno,122,357,1,0
Mafuensanta,1924,2421,4,1
Dummars,388,360,5,0
ICMA_ML,259,101,1,3
delfincastillo,184,1108,1,0
Fernandostrut,121,410,1,0
yamiledesmith,1693,1066,0,2
ValenzuelaGaba,18,88,1,0
Javinadal,443,136,1,0
nralarcon,760,1022,0,2
UOCbiblioteca,2117,970,0,3
BailacAssumpta,535,414,1,0
Norberto_DF,97,239,1,0
johnmadelgado,1546,812,1,0
OHBasanta,271,521,1,0
AiledEstenoz,4,23,1,0
irispalma11,1175,933,1,0
CarlosBates90,3,39,1,0
gobqro,261999,21197,1,0
hyst3ron,114,453,3,0
Mariafessevilla,1748,1387,2,0
buchan_alvaro,56,407,1,0
Brain_Analytics,58,220,0,1
grracia_,75,186,1,0
RIOD_oficial,832,273,1,0
DelGobEnAragon,1236,506,1,0
CRM_87,640,712,1,0
paco_hevia,2448,424,3,0
EY_Argentina,5634,217,1,1
celescolorado,4053,992,1,0
Barlo50434458,9,199,1,0
AntonioClaraMo3,2,22,1,0
Elillopez,503,2079,7,0
cynthialovale,1190,1645,0,1
NoEsUtopia_com,150,139,1,0
CSAcooperativa,309,126,1,0
andreu_arturo,184,441,2,0
BelenCardonaRub,774,551,3,0
ekuischlaroche,5693,840,1,1
MercaTegueste,672,674,1,0
EdgarCLujan,1119,1027,1,0
jesusdelaosa,3459,2897,3,1
mvudoyra,1326,1298,1,0
carminam2,1147,936,1,0
ileanagamez,115,418,1,0
tadmura,406,1768,1,0
hikingkuma3,48,77,1,0
foretica,17112,1336,12,9
mauro930926,3033,3495,2,0
YolaidisC,29,26,1,0
JambuMarcos,161,77,1,0
RRIIglocales,785,697,2,0
anitalara_s,241,369,1,1
arelibiciteka,11826,1289,1,0
mandreu7,254,377,1,0
juanvi62,484,544,1,0
jrubiomart,27225,27028,2,0
VelisGustavo,646,4055,1,0
Sole_cardozo,231,413,1,0
RedCarolinaCol,6239,913,3,1
EmbajadaEspPeru,3041,284,1,1
Compromiso_Empr,6087,642,1,0
Wal80ter,25,171,1,0
bervisleon17,177,145,1,0
CarlosETorres_,1423,552,1,0
ceip_amoalfacar,82,81,1,0
LegalGempAsesor,1595,2125,1,0
MjoseChaconAg,167,221,0,1
Ana_F_Laviada,98,156,2,0
UNFPAInnovation,2356,509,1,0
AdriRico5,68,123,1,0
